id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
261028,2020-01-05,domingo,15:00:00,AM,174,972,MANAUS,Defeito Mecânico no Veículo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,3,0,3,0,0,0,3,1,-2.20712585,-60.01829448,SR-AM,UOP02/AM,
261251,2020-01-06,segunda-feira,11:20:00,AM,174,986.9,PRESIDENTE FIGUEIREDO,Ingestão de Álcool,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,Não,2,0,2,0,0,0,2,1,-2.08151553,-60.00707746,SR-AM,UOP02/AM,
262951,2020-01-15,quarta-feira,11:00:00,AM,174,924.9,MANAUS,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,1,0,0,0,1,0,1,-2.61522997,-60.03946148,SR-AM,UOP01/AM,
263666,2020-01-18,sábado,19:50:00,AM,174,966,PRESIDENTE FIGUEIREDO,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Curva,Não,1,0,1,0,0,0,1,1,-2.16036133,-60.00457764,SR-AM,UOP02/AM,
265686,2020-01-28,terça-feira,06:40:00,AM,319,693,HUMAITA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,3,0,2,1,0,0,3,1,-7.679187,-63.08162918,SR-RO,DEL21/01,UOP03/RO
266377,2020-01-31,sexta-feira,23:00:00,AM,174,1015,PRESIDENTE FIGUEIREDO,Defeito Mecânico no Veículo,Tombamento,Sem Vítimas,Plena Noite,Decrescente,Nublado,Simples,Não Informado,Não,1,0,0,0,1,0,0,1,-1.85459896,-60.09840096,SR-AM,UOP02/AM,
266516,2020-02-01,sábado,15:10:00,AM,174,984,PRESIDENTE FIGUEIREDO,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Desvio Temporário,Não,1,0,1,0,0,0,1,1,-2.10373508,-59.99445126,SR-AM,UOP02/AM,
266876,2020-02-03,segunda-feira,05:00:00,AM,319,50,CAREIRO,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,5,0,2,0,2,1,2,3,-3.43655744,-59.98295489,SR-AM,UOP04/AM,
267111,2020-02-04,terça-feira,16:50:00,AM,174,972.1,MANAUS,Falta de Atenção à Condução,Saída de leito carroçável,Sem Vítimas,Anoitecer,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,0,1,0,1,-2.20712585,-60.01829448,SR-AM,UOP02/AM,
268224,2020-02-09,domingo,10:50:00,AM,319,679.8,HUMAITA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,2,0,2,0,0,0,2,1,-7.560477,-63.077916,SR-RO,DEL21/01,UOP03/RO
268698,2020-02-11,terça-feira,17:00:00,AM,319,40,CANUTAMA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,1,0,0,1,0,0,2,-8.63988203,-63.99604448,SR-AM,UOP04/AM,
268816,2020-02-02,domingo,09:30:00,AM,174,900,MANAUS,Desobediência às normas de trânsito pelo condutor,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,2,0,1,0,1,0,1,2,-2.83486603,-60.03363028,SR-AM,UOP01/AM,
268968,2020-02-13,quinta-feira,10:00:00,AM,174,990,PRESIDENTE FIGUEIREDO,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Rotatória,Sim,1,0,1,0,0,0,1,1,-2.05515051,-60.02282739,SR-AM,UOP02,DEL01
270649,2020-01-17,sexta-feira,17:30:00,AM,174,1015,PRESIDENTE FIGUEIREDO,Carga excessiva e/ou mal acondicionada,Colisão traseira,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Simples,Não Informado,Não,6,0,3,1,2,0,4,3,-1.85459896,-60.09840096,SR-AM,UOP02/AM,
272202,2020-02-23,domingo,17:30:00,AM,174,913.1,MANAUS,Ingestão de Álcool,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Reta,Não,1,0,0,1,0,0,1,1,-2.71723198,-60.04750388,SR-AM,UOP01,DEL01
275307,2020-03-14,sábado,05:30:00,AM,319,691,HUMAITA,Ingestão de Álcool,Saída de leito carroçável,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Simples,Reta,Não,1,0,0,0,0,1,0,1,-7.66136301,-63.08112085,SR-RO,UOP03,DEL01
275799,2020-03-15,domingo,02:50:00,AM,174,885,MANAUS,Ingestão de Álcool,Colisão frontal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Sim,4,0,0,0,4,0,0,2,-2.96448848,-60.02343676,SR-AM,UOP01,DEL01
276006,2020-03-17,terça-feira,14:05:00,AM,174,928,MANAUS,Condutor Dormindo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Simples,Não Informado,Não,1,0,1,0,0,0,1,1,-2.59031258,-60.03400959,SR-AM,UOP01,DEL01
276106,2020-03-15,domingo,03:30:00,AM,174,898,MANAUS,Ingestão de Álcool,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Curva,Não,2,0,2,0,0,0,2,1,-2.85248508,-60.03576584,SR-AM,UOP01,DEL01
276497,2020-03-20,sexta-feira,05:10:00,AM,230,620,HUMAITA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Amanhecer,Crescente,Nublado,Simples,Reta,Não,2,0,0,2,0,0,2,1,-7.57284063,-63.11645508,SR-RO,UOP03,DEL01
276533,2020-03-07,sábado,16:00:00,AM,174,977,PRESIDENTE FIGUEIREDO,Desobediência às normas de trânsito pelo condutor,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Não Informado,Não,3,0,2,0,1,0,2,2,-2.1638501,-60.00584867,SR-AM,UOP02,DEL01
276971,2020-03-09,segunda-feira,11:00:00,AM,174,967,MANAUS,Condutor Dormindo,Colisão com objeto estático,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,1,0,0,0,0,1,0,1,-2.24968286,-60.03237023,SR-AM,UOP02,DEL01
277122,2020-03-24,terça-feira,20:50:00,AM,319,98,CAREIRO,Avarias e/ou desgaste excessivo no pneu,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,2,0,1,1,0,0,2,1,-3.7299389,-60.2795072,SR-AM,UOP03,DEL01
277530,2020-03-28,sábado,23:00:00,AM,174,887,MANAUS,Ingestão de Álcool,Colisão lateral,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Não Informado,Sim,2,0,1,0,1,0,1,2,-2.95155098,-60.03337749,SR-AM,UOP01,DEL01
277989,2020-03-22,domingo,17:10:00,AM,319,29,CAREIRO,Defeito Mecânico no Veículo,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Não,2,0,1,1,0,0,2,1,-3.31606802,-59.87815776,SR-AM,UOP04/AM,
278409,2020-04-04,sábado,20:00:00,AM,174,888,MANAUS,Ingestão de Álcool,Colisão frontal,Sem Vítimas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,2,0,0,0,2,0,0,2,-2.942329,-60.03368092,SR-AM,UOP01,DEL01
280498,2020-04-02,quinta-feira,22:20:00,AM,174,892,MANAUS,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Ignorado,Simples,Reta,Não,3,0,0,1,0,2,1,1,-2.90664118,-60.03718448,SR-AM,UOP01,DEL01
